HITId,Input.text
356TQKY9XF54YTVJNOTSOWIS9OA788,Back on bags. https://t.co/bmL72h3o4L
3DQYSJDTYLJFM9B1I4JQA5R2MKNXES,Evidently I got a natural high
3JMNNNO3B1C82TUVFFS36L46GFS2W3,Never forget always remember
3PZDSVZ3J5PSID04RSK43HOD7HJ4N9,You know nothing Jon Snow... #ishereallydead https://t.co/5LtTCWJiLH
3LEG2HW4UFV6R780PQI32XI6LC1F2H,@Ro_Z_gASS Told you I'd be here today
31ANT7FQN8AI40IT2Z813PXVL165H7,@wolfblitzer  sanders must support Hillary now. No use for in fighting. He can promote his ideas by compromising
3W0KKJIARRHST8236II1S1NEF8AK8R,"""you know you guys have hit rock bottom when you make jokes about Kaiser Wilhelm"" -@lanthierjeremy"
373L46LKP7EHDPYMXMFSHRWSVJ4KJB,Until next year.
3MXX6RQ9EVDSLYCH77XW76T87WK4P5,If I don't jump good Monday its my moms fault
39KV3A5D18FMHDAS1MZX5NITLIHS7T,"I love wearing makeup. Insecurities are so real. So when someone compliments me with no makeup on and a t shirt, it means so much."
3P7RGTLO6EL6CWVI3G2FOST95WAKAV,"O'Reilly Auto Parts: Parts Delivery (#YPSILANTI, MI) https://t.co/u7zmood8NL #Transportation #Job #Jobs #Hiring #CareerArc"
3SU800BH860C287BMQ33KFHCB5UUQ9,@Ieshhhh shit idk what to say so imma cry for ya and say a prayer lol https://t.co/6nLlKc6WOw
3TC2K6WK9GAXCSYDHCCXS51KY8O28N,I gotta start working in cheaper areas. Food for lunch is getting expensive.
3GONHBMNHV623S3T0KVUKYCM3MBZMF,Correction it's 3 pm and I'm sober wth
37VHPF5VYCBAAAQFE5134IA6AZ28C3,I most definitely was. You tryna make something outta nothing https://t.co/8097JbcIld
3YZ7A3YHR517U9W9DTK0734XUCN5SS,in love with everything about you
3UYRNV2KIT7T1EN63VAHKT4I93FN8Z,When you don't go to school cuz ur sick but you go to stop n shop to get a prescription and see your gym teacher there
3087LXLJ6MOZVX5MA3EPJ9PROEHF0X,@restinpeaceYaYa lol just gotta finish it
33Q5P9PUSPUPU6R2NV1GH27A987ZCX,@WIRED I don't hate weed as much as I hate Stoners. But they both suck.
3R5OYNIC2CHC2JR7M8Y4FE50NV1PTM,"#Clerical in #Houston, TX: Regional Treatment Options Program Specialist: Renal Care at Fresenius Medical Care https://t.co/V3mRJDHme0"
3GL25Y68432DYX3EZ279NDWBVMEXMH,That was yellow tho
3URJ6VVYUPVA0Y0GS7KHI6OIXRO4OO,@solooodoloooo chill fuckin dick
3VP28W7DUNSWXIBCEXRHP8SD6LZZF8,This has to be the slowest week of my life
3A3KKYU7P3PY9XYOPXBNLUI4MK8MWD,@knguyen I met him in real life a few months ago at a bar in San Francisco.
3PUOXASB57BNW8KZBBRPFC623N4Z9G,"@QuintonPalms correct, I'm bouta do  a Yankee hat next"
3BFNCI9LYKYIXWPDB7YWXFAHT2I73G,San Francisco just became the first big US city to require solar panels on new buildings https://t.co/7khO2G8oLN
306W7JMRYY6R05Y90558TY4OSE28BW,@YesJulz  hey can you check your mails. I emailed you for a booking. Thank you
3ZLW647WAL3BBVS75VH11OT9IMX32X,"Want to work in #Mashpee, MA? View our latest opening: https://t.co/1ycLgJXdJ3 #Retail #Job #Jobs #Hiring #CareerArc"
34XASH8KLQU8PO1NDBXST0A8TN5PML,Oh my fucking god bein sports fucking sucks
3OWZNK3RYLXVAP5QKFD2OXJ9VZH2U4,My thoughts exactly.  https://t.co/eOjHiSEPs6
341H3G5YF0M50EWMBF8WM1590JAZ04,I wanna go fishing
3V7ICJJAZAOQH4B7O2FVCMOJQS54BK,Great shirt. https://t.co/B4A2gGLK3c
3OCZWXS7ZOFKQW1JTKNZVHQ22IF5LE,"Can you recommend anyone for this #Writing #job? https://t.co/x32eXdMrWp #SaintCharles, IL #Hiring"
3KL228NDMVU7MN8LPGUPKE4C3RNKG7,"See our latest #Kremmling, CO #job and click to apply: Medical Technologist (MT) /... - https://t.co/TPzbRq0AwM https://t.co/C0NOZEPSx3"
3P520RYKCHEN9MOD2YF0M4MLF985U8,@KelcieGidleyxox YEAH LIKE HES MY MAN
3S8A4GJRD3BJ55DRC7ZAAW24PBR6VD,gotta let them females knowww jojoooo  https://t.co/npCAgG4zJL
3JAOYN9IHLA0WDOQ9VV6KYY1O0X338,I don't know what the fuck is going on.
3B0MCRZMBR2EARY05RPKA443YSGPPH,Bae where ya @
389A2A304OQSSLLCJ1OOB34OR1Q0C8,"I'm at WSU Student Center in Detroit, MI https://t.co/YAQHIK6imT"
3MJ28H2Y1EGSWH4G6C3RNYUWXNK5OV,"#Cabot, AR #Healthcare : Independent Nurse Practitioner, Urgent Care Specialist at MedExpress https://t.co/3gkH9F7BII #nurse #ArkansasJobs"
33P2GD6NRN0LMJ3W9MC75EGDIR0HK3,YES YES YESSSSSS https://t.co/ARukh7iNLr
31MBOZ6PAOZ5PHAY8UA79NWCUZ0CLS,@ducci46 @LOYALFAN1 @JeanetteEliz @memva @jumasa85 @Deli60Ros @inghever @YNHallak @trcas @Alpha2468  Gorgeous Beautiful Dolphins!
32W3UF2EZOT9R93D22BQN6U18D54CR,"@JKempEnergy Not freezing is so nice, let's meet about it twice  https://t.co/RwUAjalwOt"
3K3G488TR2GVHTHWLPVVC3PWCO25Q3,"@LeslieRubinWCHS he'll be in a luxuries prison, probably some where it's warm, Florida. Will be living more comfortable than majority of WVs"
3D17ECOUOE34MAABMRHNW5J4QGJ31G,I'm so excited to leave for Chicago in the morning
35A1YQPVFEOI0VTD8HQM31YALEL5I0,Being called bud pisses me of so much for some reason
39AYGO6AFFS6X04IAGDJ0F8R38PN6D,@brandy_leighann yes!! Just got the word
30EV7DWJTV309Z8WHIMUHV6Y7ST6YM,@catlyncrespo uhm On my way!
3DFYDSXB2W8VGL3YR0JUNE5QXA2UJI,@Cjhurtado1 I was actually thinking that but it's all the way in SLC &amp; I don't have the patience
3JTPR5MTZSK96QJ18KBYGHDNDIA5KB,"@DonnaLeinwand @USATODAY personally because of the ""Political nature of this"" I call for a boycott of it... as 4 me give me 2 $10's instead!"
