HITId,Input.text,Answer.positive_label,negative_gold_label
I'm so offended Dahvii won't shit in my bathroom @Dahviivader,I'm so offended Dahvii won't shit in my bathroom @Dahviivader,friends,
@SydSoAmazing damn,@SydSoAmazing damn,friends,
Wish i could afford to live on my own.,Wish i could afford to live on my own.,general_internet_community,
@bballbreakdown haha you gotta be honest people can't handle the truth!!! I look forward to more of your playoff breakdowns. #ImIn,@bballbreakdown haha you gotta be honest people can't handle the truth!!! I look forward to more of your playoff breakdowns. #ImIn,specific_organization,
Swear I just b chillin.,Swear I just b chillin.,general_internet_community,
"Get well soon, @WWEAaLLday21! I'm trying so hard not to cry right now.","Get well soon, @WWEAaLLday21! I'm trying so hard not to cry right now.",friends,
"Well, shit... Just make me feel like a thotty, right?","Well, shit... Just make me feel like a thotty, right?",friends,
Looking forward small steps seem slow. But looking backwards in one glance the progress is awesome. #ThinkBIGSundayWithMarsha,Looking forward small steps seem slow. But looking backwards in one glance the progress is awesome. #ThinkBIGSundayWithMarsha,coworkers,
@ashlie congrats!!!,@ashlie congrats!!!,friends,
Beep // pussy cat dolls &gt;&gt;&gt;&gt;,Beep // pussy cat dolls &gt;&gt;&gt;&gt;,general_internet_community,
@RickeySmiffDoe only looking forward to Shane getting control,@RickeySmiffDoe only looking forward to Shane getting control,friends,
@Edmc28 I bet I know which friend you're asking for.,@Edmc28 I bet I know which friend you're asking for.,friends,
Damn that looked bad. Hope @WWEAaLLday21 is ok!!! #Payback,Damn that looked bad. Hope @WWEAaLLday21 is ok!!! #Payback,general_internet_community,
@SurferAmber yeah cause I'm using my voice command,@SurferAmber yeah cause I'm using my voice command,friends,
This should have been the 2nd main event.,This should have been the 2nd main event.,general_internet_community,
I'm super excited to see my sisters and the rest of my family this weekend!,I'm super excited to see my sisters and the rest of my family this weekend!,family,
my brother is trying to set me up for failure &amp; get me sent away,my brother is trying to set me up for failure &amp; get me sent away,friends,
Way to go! Keep it up kettlevells are the greatest  https://t.co/SbRmSUuAaE,Way to go! Keep it up kettlevells are the greatest  https://t.co/SbRmSUuAaE,friends,
Oh man,Oh man,general_internet_community,
Sami and Owens can't be in the right frame of mind right now.,Sami and Owens can't be in the right frame of mind right now.,general_internet_community,
@Venom_JasonC wtf uncalled for,@Venom_JasonC wtf uncalled for,friends,
try me,try me,general_internet_community,
"oh, dear, you look so lost https://t.co/kinCL35U6u","oh, dear, you look so lost https://t.co/kinCL35U6u",friends,
@rachelhester1 it's your chance  https://t.co/dz1KtwxH09,@rachelhester1 it's your chance  https://t.co/dz1KtwxH09,friends,
Need a uncle lees back at home forsure.,Need a uncle lees back at home forsure.,friends,
@ollivialee at least she likes us  https://t.co/aVMSYZc98j,@ollivialee at least she likes us  https://t.co/aVMSYZc98j,friends,
@tinytyrahxo thanks tyrah !!!!,@tinytyrahxo thanks tyrah !!!!,friends,
Road trip.,Road trip.,friends,
follow me on snap (@wantmorethrills),follow me on snap (@wantmorethrills),general_internet_community,
@ShandaRenee__ you too Shanda!,@ShandaRenee__ you too Shanda!,friends,
@AlyssaLynnxxx Happy Birthday to you Ms. Lynn. Glad I didn't miss it.,@AlyssaLynnxxx Happy Birthday to you Ms. Lynn. Glad I didn't miss it.,friends,
best drake song is 9am in Dallas. I'll fight you if you say I'm wrong.,best drake song is 9am in Dallas. I'll fight you if you say I'm wrong.,friends,
@Listen2Lena 0 right now.,@Listen2Lena 0 right now.,friends,
Mohi girls be slaying prom https://t.co/zWq40GtCjw,Mohi girls be slaying prom https://t.co/zWq40GtCjw,friends,
@SoRmusical you knocked my socks off this weekend! Thank you! https://t.co/wuUMcuTAot,@SoRmusical you knocked my socks off this weekend! Thank you! https://t.co/wuUMcuTAot,specific_organization,
"@Jocay19 I know, when his head snapped back, I had  a flashback to Perro. Yikes","@Jocay19 I know, when his head snapped back, I had  a flashback to Perro. Yikes",friends,
@WeNeedTrump His team is on a mission! They sacrifice for conscience sake. Powerful! My tweeting began because of Trump &amp; our mission. MAGA!,@WeNeedTrump His team is on a mission! They sacrifice for conscience sake. Powerful! My tweeting began because of Trump &amp; our mission. MAGA!,general_internet_community,
"They don't, they like assholes who make the exception for them https://t.co/YZU1Dvwrx5","They don't, they like assholes who make the exception for them https://t.co/YZU1Dvwrx5",general_internet_community,
@Landon52344 @bmcMUT BIG QUINT,@Landon52344 @bmcMUT BIG QUINT,friends,
I got a @Costco membership today and bought a house this weekend sooooo... Yup. I'm an adult now. For sure this time.,I got a @Costco membership today and bought a house this weekend sooooo... Yup. I'm an adult now. For sure this time.,friends,
Check out @ParkSlopeKid 30 DAYS STRAIGHT VLOGGING LIKE A BEAST https://t.co/ESVgOMhKAY,Check out @ParkSlopeKid 30 DAYS STRAIGHT VLOGGING LIKE A BEAST https://t.co/ESVgOMhKAY,general_internet_community,
B day bro https://t.co/01R9cniGR6,B day bro https://t.co/01R9cniGR6,friends,
We're #hiring! Read about our latest #job opening here: Store Manager- maurices - https://t.co/wy9rACD5FF #Retail https://t.co/IZMHn429KB,We're #hiring! Read about our latest #job opening here: Store Manager- maurices - https://t.co/wy9rACD5FF #Retail https://t.co/IZMHn429KB,general_internet_community,
i don't even know I try anymore,i don't even know I try anymore,general_internet_community,
I really just want rio and cuddles,I really just want rio and cuddles,friends,
"@MarieeThe @melanypalaciosx 
Ew wth","@MarieeThe @melanypalaciosx 
Ew wth",friends,
"My name needs to stop being brought up in such things, so if you could be so kind and for a lack of better words ""shove it up your cunts"" :)","My name needs to stop being brought up in such things, so if you could be so kind and for a lack of better words ""shove it up your cunts"" :)",general_internet_community,
@SoDamnTrue @madiisonhall this could be us,@SoDamnTrue @madiisonhall this could be us,friends,
@Nymo Love that place. It's important to preserve those machines!,@Nymo Love that place. It's important to preserve those machines!,friends,
I know last night's show was killer because it nearly killed me #hungover #worthit,I know last night's show was killer because it nearly killed me #hungover #worthit,friends,
